,id,Name,position,team,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date
7,288259,Jack O'Connell,Centre-Back,sheffield-united,19/20,Head Injury,11,"Jan 6, 2020","Jan 17, 2020",14/15,Fibula Fracture,144,"Sep 22, 2014","Feb 13, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,146690,Chris Basham,Centre-Back,sheffield-united,20/21,Thigh Muscle Strain,11,"Feb 3, 2021","Feb 14, 2021",20/21,Knock,13,"Jan 3, 2021","Jan 16, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,61697,Kean Bryan,Centre-Back,sheffield-united,17/18,Knee Injury,17,"Apr 20, 2018","May 7, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,57079,Kyron Gordon,Centre-Back,sheffield-united,16/17,Calf Strain,7,"Apr 28, 2017","May 5, 2017",16/17,Hamstring Injury,58,"Nov 3, 2016","Dec 31, 2016",15/16,Knock,12,"Dec 31, 2015","Jan 12, 2016",13/14,Thigh Problems,31,"Sep 23, 2013","Oct 24, 2013",13-12,Hamstring Injury,35,"Mar 4, 2013","Apr 8, 2013",13-12,Hamstring Injury,98,"Oct 11, 2012","Jan 17, 2013",12-11,torn tendon,24,"Feb 6, 2012","Mar 1, 2012",11-10,Ankle Injury,88,"Sep 9, 2010","Dec 6, 2010",10-9,Achilles tendon problems,28,"Dec 31, 2009","Jan 28, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,128909,Phil Jagielka,Centre-Back,sheffield-united,20/21,Knock,123,"Dec 30, 2020","May 2, 2021",14/15,Knee Injury,371,"Mar 14, 2015","Mar 19, 2016",12-11,Ankle Injury,193,"Oct 16, 2011","Apr 26, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,746778,Enda Stevens,Left-Back,sheffield-united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,218087,Max Lowe,Left-Back,sheffield-united,20/21,Knock,24,"Jan 13, 2021","Feb 6, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,526873,Jack Robinson,Left-Back,sheffield-united,20/21,Hamstring Injury,94,"Aug 1, 2020","Nov 3, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,638649,Rhys Norrington-Davies,Left-Back,sheffield-united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,121324,Harry Boyes,Left-Back,sheffield-united,20/21,Virus Infection,7,"Oct 10, 2020","Oct 17, 2020",19/20,Cals Sclerosis,10,"Nov 20, 2019","Nov 30, 2019",19/20,Knock,5,"Nov 3, 2019","Nov 8, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,623570,Jayden Bogle,Right-Back,sheffield-united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,214928,George Baldock,Right-Back,sheffield-united,20/21,Calf Injury,21,"Dec 7, 2020","Dec 28, 2020",19/20,Knock,26,"Aug 29, 2019","Sep 24, 2019",15/16,Unknown Injury,55,"Dec 13, 2015","Feb 6, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,73547,Femi Seriki,Right-Back,sheffield-united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,156941,Sander Berge,Defensive Midfield,sheffield-united,19/20,Shoulder Injury,8,"Jun 29, 2020","Jul 7, 2020",19/20,Ankle Injury,3,"Dec 29, 2019","Jan 1, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,543164,Jack Rodwell,Defensive Midfield,sheffield-united,20/21,Hamstring Injury,14,"Nov 1, 2020","Nov 15, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,54383,Regan Slater,Defensive Midfield,sheffield-united,20/21,Corona virus,14,"Jun 1, 2021","Jun 15, 2021",20/21,Back Injury,41,"Oct 11, 2020","Nov 21, 2020",20/21,Groin Injury,14,"Jul 1, 2020","Jul 15, 2020",19/20,Knock,10,"Jun 10, 2020","Jun 20, 2020",19/20,Knock,12,"Feb 23, 2020","Mar 6, 2020",19/20,Knock,2,"Oct 18, 2019","Oct 20, 2019",19/20,Thigh Muscle Strain,25,"Aug 19, 2019","Sep 13, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,35416,John Lundstram,Central Midfield,sheffield-united,20/21,Knock,7,"Oct 10, 2020","Oct 17, 2020",20/21,Knock,3,"Sep 10, 2020","Sep 13, 2020",20/21,Foot Injury,4,"Jul 6, 2020","Jul 10, 2020",20/21,Foot Injury,4,"Jul 6, 2020","Jul 10, 2020",19/20,Knee Injury,5,"Jun 18, 2020","Jun 23, 2020",19/20,Groin Injury,27,"Jan 12, 2020","Feb 8, 2020",19/20,Groin Injury,28,"Sep 22, 2019","Oct 20, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,291422,John Fleck,Central Midfield,sheffield-united,20/21,Knock,13,"Jan 13, 2021","Jan 26, 2021",20/21,Ankle Injury,1,"Jan 10, 2021","Jan 11, 2021",20/21,Toe Injury,12,"Nov 30, 2020","Dec 12, 2020",20/21,Toe Injury,76,"Sep 5, 2020","Nov 20, 2020",19/20,Knock,4,"Dec 9, 2019","Dec 13, 2019",19/20,Thigh Muscle Strain,5,"Nov 25, 2019","Nov 30, 2019",18/19,Ankle Injury,1,"Aug 30, 2018","Aug 31, 2018",17/18,Ill,16,"Mar 21, 2018","Apr 6, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,746740,Oliver Norwood,Central Midfield,sheffield-united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,333014,Zak Brunt,Central Midfield,sheffield-united,21/22,Hamstring Injury,52,"Sep 18, 2021",-,21/22,Corona virus,15,"Aug 29, 2021","Sep 13, 2021",20/21,Surgery,93,"Dec 18, 2020","Mar 21, 2021",20/21,Knock,13,"Nov 8, 2020","Nov 21, 2020",20/21,Knee Injury,3,"Sep 10, 2020","Sep 13, 2020",18/19,Calf Problems,55,"Jan 19, 2019","Mar 15, 2019",18/19,Knee Problems,11,"Oct 17, 2018","Oct 28, 2018",17/18,Fitness,60,"Mar 19, 2018","May 18, 2018",17/18,Torn Muscle,143,"Oct 26, 2017","Mar 18, 2018",16/17,Knee Surgery,75,"Oct 17, 2016","Dec 31, 2016",,,,,,,,,,,,,,,,,,,,,,,,,
27,341317,Frankie Maguire,Central Midfield,sheffield-united,20/21,Back Injury,0,"Dec 28, 2020","Dec 28, 2020",20/21,Knock,9,"Oct 8, 2020","Oct 17, 2020",19/20,Virus Infection,39,"Mar 3, 2020","Apr 11, 2020",17/18,Thigh Problems,12,"Oct 17, 2017","Oct 29, 2017",16/17,Abdominal Influenza,4,"Apr 26, 2017","Apr 30, 2017",16/17,Thigh Problems,7,"Feb 23, 2017","Mar 2, 2017",16/17,Influenza,4,"Jan 26, 2017","Jan 30, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,212829,Ben Osborn,Left Midfield,sheffield-united,20/21,Knee Surgery,413,"Sep 22, 2020",-,19/20,Knee Injury,17,"Jun 17, 2020","Jul 4, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,49542,Luke Freeman,Attacking Midfield,sheffield-united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,473080,Iliman Ndiaye,Attacking Midfield,sheffield-united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,746734,William Osula,attack,sheffield-united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,85706,Rhian Brewster,Centre-Forward,sheffield-united,20/21,Knock,21,"Jan 24, 2021","Feb 14, 2021",20/21,Knock,13,"Jan 3, 2021","Jan 16, 2021",20/21,Knee Injury,34,"Nov 8, 2020","Dec 12, 2020",19/20,Calf Injury,12,"Feb 23, 2020","Mar 6, 2020",13-12,Ankle Injury,31,"Nov 27, 2012","Dec 28, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,670859,Oliver McBurnie,Centre-Forward,sheffield-united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,66923,Lys Mousset,Centre-Forward,sheffield-united,19/20,Knock,56,"Jul 3, 2020","Aug 28, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,427568,Oliver Burke,Centre-Forward,sheffield-united,19/20,Virus Infection,5,"May 26, 2020","May 31, 2020",19/20,Knock,6,"Jan 11, 2020","Jan 17, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,123536,David McGoldrick,Centre-Forward,sheffield-united,20/21,Fractured Finger,72,"Sep 10, 2020","Nov 21, 2020",19/20,Groin Injury,39,"Dec 15, 2019","Jan 23, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,465717,Daniel Jebbison,Centre-Forward,sheffield-united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,258885,Billy Sharp,Centre-Forward,sheffield-united,20/21,Head Injury,11,"Oct 19, 2020","Oct 30, 2020",18/19,groin strain,8,"Dec 23, 2018","Dec 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,13520,Antwoine Hackford,Centre-Forward,sheffield-united,19/20,Ankle Injury,1,"Jun 22, 2020","Jun 23, 2020",18/19,Knock,25,"Mar 4, 2019","Mar 29, 2019",18/19,Knock,41,"Jan 15, 2019","Feb 25, 2019",18/19,Knee Injury,91,"Aug 12, 2018","Nov 11, 2018",17/18,Thigh Problems,23,"Sep 22, 2017","Oct 15, 2017",16/17,Thigh Muscle Strain,7,"Oct 7, 2016","Oct 14, 2016",15/16,Hamstring Injury,12,"Apr 10, 2016","Apr 22, 2016",15/16,Ruptured intraarticular ligament initiation in knee,68,"Oct 24, 2015","Dec 31, 2015",13/14,Thigh Problems,8,"Feb 27, 2014","Mar 7, 2014",13/14,Thigh Problems,14,"Dec 27, 2013","Jan 10, 2014",13-12,Ankle Injury,25,"Mar 4, 2013","Mar 29, 2013",12-11,Ruptured intraarticular ligament initiation in knee,58,"Jan 4, 2012","Mar 2, 2012",11-10,Thigh Problems,7,"Jan 3, 2011","Jan 10, 2011",11-10,Thigh Problems,10,"Oct 12, 2010","Oct 22, 2010",09-8,Cruciate Ligament Rupture,284,"Apr 27, 2009","Feb 5, 2010"
0,61814,Sam Johnstone,Goalkeeper,west-bromwich-albion,18/19,Knee Injury,41,"Oct 23, 2018","Dec 3, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37920,David Button,Goalkeeper,west-bromwich-albion,20/21,Back Injury,26,"Sep 22, 2020","Oct 18, 2020",17/18,Fractured Finger,49,"Dec 27, 2017","Feb 14, 2018",16/17,Back trouble,3,"Dec 12, 2016","Dec 15, 2016",16/17,Cold,7,"Nov 21, 2016","Nov 28, 2016",16/17,Muscular problems,29,"Aug 21, 2016","Sep 19, 2016",15/16,Muscular problems,6,"Apr 29, 2016","May 5, 2016",14/15,Fractured Hand,69,"Nov 14, 2014","Jan 22, 2015",13/14,Unknown Injury,44,"Sep 22, 2013","Nov 5, 2013",13/14,Unknown Injury,28,"Aug 19, 2013","Sep 16, 2013",13-12,Unknown Injury,9,"Mar 30, 2013","Apr 8, 2013",13-12,Unknown Injury,8,"Mar 10, 2013","Mar 18, 2013",,,,,,,,,,,,,,,,,,,,
2,36827,Alex Palmer,Goalkeeper,west-bromwich-albion,20/21,Knock,10,"Sep 23, 2020","Oct 3, 2020",17/18,Hamstring Injury,15,"Apr 29, 2018","May 14, 2018",16/17,Muscle Injury,21,"Oct 9, 2016","Oct 30, 2016",15/16,Torn Muscle Fibre,30,"Oct 8, 2015","Nov 7, 2015",13/14,Knee Injury,16,"Dec 30, 2013","Jan 15, 2014",10-9,Knee Problems,32,"Mar 24, 2010","Apr 25, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,488362,Jonathan Bond,Goalkeeper,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,44792,Andy Lonergan,Goalkeeper,west-bromwich-albion,20/21,Virus Infection,14,"Nov 21, 2020","Dec 5, 2020",16/17,Knee Injury,21,"Dec 26, 2016","Jan 16, 2017",14/15,Thigh Problems,16,"Aug 17, 2014","Sep 2, 2014",13/14,Calf Problems,14,"Dec 30, 2013","Jan 13, 2014",13-12,Thigh Muscle Strain,40,"Jan 30, 2013","Mar 11, 2013",13-12,Thigh Problems,49,"Oct 6, 2012","Nov 24, 2012",12-11,Surgery,76,"Nov 17, 2011","Feb 1, 2012",12-11,Abdominal Strain,31,"Oct 16, 2011","Nov 16, 2011",12-11,Strain,12,"Aug 16, 2011","Aug 28, 2011",11-10,Ankle Injury,27,"Dec 8, 2010","Jan 4, 2011",11-10,Calf Problems,18,"Sep 28, 2010","Oct 16, 2010",10-9,Metatarsal Fracture,158,"Nov 24, 2009","May 1, 2010",,,,,,,,,,,,,,,
5,387331,Semi Ajayi,Centre-Back,west-bromwich-albion,21/22,Knee Surgery,109,"Jul 23, 2021",-,20/21,Knee Injury,85,"Oct 22, 2020","Jan 15, 2021",19/20,Knee Injury,242,"Oct 23, 2019","Feb 23, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,612748,Ahmed Hegazy,Centre-Back,west-bromwich-albion,21/22,Medial Collateral Ligament Tear,73,"Aug 28, 2021",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,342048,Dara O'Shea,Centre-Back,west-bromwich-albion,20/21,Thigh Muscle Strain,43,"Jan 3, 2021","Feb 15, 2021",19/20,Hamstring Injury,27,"Dec 14, 2019","Jan 10, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,271966,Kyle Bartley,Centre-Back,west-bromwich-albion,20/21,Fitness,6,"Dec 28, 2020","Jan 3, 2021",20/21,Quarantine,3,"Dec 25, 2020","Dec 28, 2020",18/19,Shoulder Injury,6,"Mar 26, 2019","Apr 1, 2019",18/19,Groin Injury,8,"Feb 21, 2019","Mar 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,671074,C??dric Kipr??,Centre-Back,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,406636,Branislav Ivanovic,Centre-Back,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,245625,Caleb Taylor,Centre-Back,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,225984,Kieran Gibbs,Left-Back,west-bromwich-albion,18/19,Strain in the thigh and gluteal muscles,27,"May 5, 2019","Jun 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,314183,Conor Townsend,Left-Back,west-bromwich-albion,20/21,Ankle Injury,26,"Dec 30, 2020","Jan 25, 2021",18/19,Ill,5,"Apr 14, 2019","Apr 19, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,65976,George Harmon,Left-Back,west-bromwich-albion,20/21,Arm Injury,46,"Nov 30, 2020","Jan 15, 2021",20/21,Fractured Arm,45,"Oct 6, 2020","Nov 20, 2020",20/21,Knock,3,"Sep 23, 2020","Sep 26, 2020",17/18,Concussion,33,"Mar 18, 2018","Apr 20, 2018",17/18,Strain,19,"Oct 9, 2017","Oct 28, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,113036,Darnell Furlong,Right-Back,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,401320,Lee Peltier,Right-Back,west-bromwich-albion,21/22,Ankle Fracture,153,"Sep 7, 2021","Feb 7, 2022",20/21,Ankle Injury,18,"Oct 20, 2020","Nov 7, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,137616,Taylor Gardner-Hickman,Right-Back,west-bromwich-albion,19/20,Knee Injury,39,"Aug 11, 2019","Sep 19, 2019",18/19,Edema in the knee,13,"May 30, 2019","Jun 12, 2019",18/19,Toe Injury,15,"Jan 17, 2019","Feb 1, 2019",18/19,Ankle Injury,14,"Jul 31, 2018","Aug 14, 2018",17/18,Bruised Foot,9,"Dec 4, 2017","Dec 13, 2017",16/17,Groin Injury,16,"May 27, 2017","Jun 12, 2017",16/17,Groin Injury,5,"May 20, 2017","May 25, 2017",16/17,Groin Strain,8,"Apr 29, 2017","May 7, 2017",15/16,Unknown Injury,3,"Mar 4, 2016","Mar 7, 2016",15/16,Thigh muscle rupture,16,"Feb 7, 2016","Feb 23, 2016",15/16,Hamstring Injury,5,"Sep 24, 2015","Sep 29, 2015",15/16,Hamstring Injury,7,"Sep 8, 2015","Sep 15, 2015",12-11,Ankle Injury,9,"Mar 10, 2012","Mar 19, 2012",,,,,,,,,,
18,14044,Okay Yokuslu,Defensive Midfield,west-bromwich-albion,15/16,Thigh Problems,30,"Nov 1, 2015","Dec 1, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,251912,Jake Livermore,Defensive Midfield,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,38094,Conor Gallagher,Central Midfield,west-bromwich-albion,18/19,Ill,104,"Feb 10, 2019","May 25, 2019",18/19,Shoulder Injury,48,"Sep 22, 2018","Nov 9, 2018",17/18,Ankle problems,10,"Mar 12, 2018","Mar 22, 2018",17/18,Injury to the ankle,17,"Feb 18, 2018","Mar 7, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,261988,Rekeem Harper,Central Midfield,west-bromwich-albion,21/22,Bruised Ankle,22,"Oct 3, 2021","Oct 25, 2021",17/18,Cruciate Ligament Rupture,288,"Jan 21, 2018","Nov 5, 2018",17/18,groin strain,51,"Jun 23, 2017","Aug 13, 2017",16/17,Unknown Injury,34,"Oct 1, 2016","Nov 4, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,67421,Sam Field,Central Midfield,west-bromwich-albion,20/21,Calf Injury,25,"Dec 7, 2020","Jan 1, 2021",17/18,Knee Injury,69,"Apr 22, 2018","Jun 30, 2018",17/18,Ruptured intraarticular ligament initiation in knee,133,"Aug 22, 2017","Jan 2, 2018",14/15,Knee Injury,50,"Feb 13, 2015","Apr 4, 2015",13/14,Hamstring Injury,57,"Feb 17, 2014","Apr 15, 2014",13-12,Thigh Muscle Strain,85,"Sep 11, 2012","Dec 5, 2012",12-11,groin strain,39,"Sep 6, 2011","Oct 15, 2011",11-10,Knee Injury,76,"Mar 17, 2011","Jun 1, 2011",11-10,Cheekbone Fracture,64,"Sep 28, 2010","Dec 1, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,592988,Toby King,Central Midfield,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,546944,Tim Iroegbunam,Central Midfield,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,614826,Ainsley Maitland-Niles,Right Midfield,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,22614,Kyle Edwards,Left Midfield,west-bromwich-albion,20/21,Knee Problems,1,"Jan 28, 2021","Jan 29, 2021",19/20,Back Injury,42,"Jun 19, 2020","Jul 31, 2020",19/20,Knee Injury,4,"Jan 24, 2020","Jan 28, 2020",19/20,Knock,2,"Dec 6, 2019","Dec 8, 2019",19/20,Calf Strain,7,"Oct 11, 2019","Oct 18, 2019",18/19,Knock,1,"Dec 31, 2018","Jan 1, 2019",18/19,Ankle Injury,9,"Oct 10, 2018","Oct 19, 2018",16/17,Muscle Injury,8,"Jan 19, 2017","Jan 27, 2017",16/17,Ankle Injury,19,"Oct 22, 2016","Nov 10, 2016",14/15,Knee Injury,464,"Aug 16, 2014","Nov 23, 2015",13/14,Knee Injury,29,"Nov 21, 2013","Dec 20, 2013",11-10,Knee Problems,61,"Aug 1, 2010","Oct 1, 2010",,,,,,,,,,,,,,,
27,456877,Matheus Pereira,Attacking Midfield,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,351755,Filip Krovinovic,Attacking Midfield,west-bromwich-albion,14/15,Calf Strain,42,"Mar 14, 2015","Apr 25, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,135213,Romaine Sawyers,Attacking Midfield,west-bromwich-albion,20/21,Calf Injury,63,"Oct 29, 2020","Dec 31, 2020",19/20,Calf Injury,113,"Jun 27, 2020","Oct 18, 2020",19/20,Calf Injury,42,"Jan 29, 2020","Mar 11, 2020",19/20,Calf Problems,3,"Dec 27, 2019","Dec 30, 2019",19/20,Calf Injury,27,"Nov 26, 2019","Dec 23, 2019",19/20,Calf Injury,19,"Oct 6, 2019","Oct 25, 2019",19/20,Calf Injury,2,"Aug 12, 2019","Aug 14, 2019",18/19,Thigh Muscle Strain,37,"Dec 22, 2018","Jan 28, 2019",18/19,Calf Strain,43,"Nov 2, 2018","Dec 15, 2018",18/19,Groin Strain,10,"Aug 7, 2018","Aug 17, 2018",17/18,Injury to the ankle,65,"Oct 14, 2017","Dec 18, 2017",,,,,,,,,,,,,,,,,,,,
30,364827,Rico Richards,Attacking Midfield,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,314366,Grady Diangana,Left Winger,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,183299,Kamil Grosicki,Left Winger,west-bromwich-albion,20/21,Virus Infection,11,"Nov 9, 2020","Nov 20, 2020",20/21,Ill,8,"Oct 10, 2020","Oct 18, 2020",19/20,Ill,11,"Dec 9, 2019","Dec 20, 2019",19/20,Thigh Muscle Strain,6,"Sep 7, 2019","Sep 13, 2019",19/20,Thigh Muscle Strain,4,"Aug 19, 2019","Aug 23, 2019",18/19,Hamstring Injury,106,"Nov 25, 2018","Mar 11, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,111524,Matt Phillips,Right Winger,west-bromwich-albion,19/20,Ankle Injury,38,"Jul 24, 2019","Aug 31, 2019",18/19,Nose Injury,1,"Jun 22, 2019","Jun 23, 2019",13/14,Knee Surgery,241,"Sep 6, 2013","May 5, 2014",13/14,Knee Problems,19,"Aug 14, 2013","Sep 2, 2013",13-12,Cruciate Ligament Surgery,149,"Dec 4, 2012","May 2, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,696589,Robert Snodgrass,Right Winger,west-bromwich-albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,77274,Karlan Grant,Centre-Forward,west-bromwich-albion,20/21,Virus Infection,21,"Jan 4, 2021","Jan 25, 2021",17/18,Hamstring Injury,11,"Jan 1, 2018","Jan 12, 2018",17/18,Hamstring Injury,25,"Nov 30, 2017","Dec 25, 2017",16/17,Hamstring Injury,66,"Apr 25, 2017","Jun 30, 2017",16/17,Hamstring Injury,52,"Feb 11, 2017","Apr 4, 2017",13/14,Fractured Leg,120,"Feb 2, 2014","Jun 2, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
